  Trial 281 | Epoch 050 | GP NLPD: 321885.93 | JEPA Loss:   0.77 | SR: 3.10
  Trial 281 | Epoch 060 | GP NLPD: 318495.63 | JEPA Loss:   0.80 | SR: 2.90
  Trial 281 | Epoch 070 | GP NLPD: 315316.94 | JEPA Loss:   0.82 | SR: 2.76
  Trial 281 | Epoch 080 | GP NLPD: 313236.25 | JEPA Loss:   0.81 | SR: 2.73
  Trial 281 | Epoch 090 | GP NLPD: 311836.10 | JEPA Loss:   0.82 | SR: 2.68
  Trial 281 | Epoch 100 | GP NLPD: 311268.39 | JEPA Loss:   0.82 | SR: 2.67
  Trial 281 | Epoch 110 | GP NLPD: 311859.38 | JEPA Loss:   0.82 | SR: 2.63
  Trial 281 | Epoch 120 | GP NLPD: 312611.06 | JEPA Loss:   0.82 | SR: 2.64
  Trial 281 | Epoch 130 | GP NLPD: 314451.82 | JEPA Loss:   0.82 | SR: 2.64
  Trial 281 | Epoch 140 | GP NLPD: 315995.06 | JEPA Loss:   0.82 | SR: 2.64
  Trial 281 | Epoch 150 | GP NLPD: 316192.78 | JEPA Loss:   0.82 | SR: 2.68
  Trial 281 | Epoch 160 | GP NLPD: 317282.53 | JEPA Loss:   0.82 | SR: 2.68
  Trial 281 | Epoch 170 | GP NLPD: 318377.70 | JEPA Loss:   0.82 | SR: 2.69
  Trial 281 | Epoch 180 | GP NLPD: 319457.46 | JEPA Loss:   0.82 | SR: 2.69
  Trial 281 | Epoch 190 | GP NLPD: 320229.99 | JEPA Loss:   0.81 | SR: 2.69
  Trial 281 | Epoch 200 | GP NLPD: 321360.99 | JEPA Loss:   0.82 | SR: 2.67
  Trial 281 | Epoch 210 | GP NLPD: 322150.19 | JEPA Loss:   0.81 | SR: 2.67
  Trial 281 | Epoch 220 | GP NLPD: 322905.67 | JEPA Loss:   0.82 | SR: 2.65
  Trial 281 | Epoch 230 | GP NLPD: 323061.08 | JEPA Loss:   0.81 | SR: 2.68
  Trial 281 | Epoch 240 | GP NLPD: 323566.53 | JEPA Loss:   0.82 | SR: 2.67
  Trial 281 | Epoch 250 | GP NLPD: 323924.45 | JEPA Loss:   0.81 | SR: 2.69
  Trial 281 | Epoch 260 | GP NLPD: 324131.16 | JEPA Loss:   0.81 | SR: 2.69
  Trial 281 | Epoch 270 | GP NLPD: 324462.99 | JEPA Loss:   0.82 | SR: 2.68
  Trial 281 | Epoch 280 | GP NLPD: 324851.95 | JEPA Loss:   0.82 | SR: 2.66
  Trial 281 | Epoch 290 | GP NLPD: 325187.10 | JEPA Loss:   0.82 | SR: 2.66
  Trial 281 | Epoch 299 | GP NLPD: 325519.52 | JEPA Loss:   0.82 | SR: 2.63
[I 2026-09-04 01:43:57,305] Trial 281 finished with values: [311268.390625, 0.8224126485486825, -2.6706532637278237] and parameters: {'encoder_layers': 2, 'encoder_hidden': 32, 'latent_dim': 10, 'gp_num_inducing': 128, 'gp_kernel': 'Matern12', 'gp_periodic': False, 'gp_composition': 'additive', 'gp_mean': 'Zero', 'lr': 0.0002166595521301043, 'gp_lr': 0.002228851271591878, 'var_weight': 27.8191887647068, 'cov_weight': 45.197479452435736, 'topo_weight': 2.804988248611534, 'ema_tau': 0.9917082375834424, 'aug_noise': 0.15304983261181604, 'aug_dropout': 0.15342346279266736}.
  Trial 282: JIT compilation took 0.0s
  Trial 282 | Epoch 000 | GP NLPD: 109461.67 | JEPA Loss:   0.61 | SR: 2.15
  Trial 282 | Epoch 010 | GP NLPD: 115477.91 | JEPA Loss:   0.71 | SR: 1.90
  Trial 282 | Epoch 020 | GP NLPD: 141499.99 | JEPA Loss:   0.81 | SR: 1.66
  Trial 282 | Epoch 030 | GP NLPD: 148302.23 | JEPA Loss:   0.92 | SR: 1.56
  Trial 282 | Epoch 040 | GP NLPD: 148937.96 | JEPA Loss:   1.01 | SR: 1.49
  Trial 282 | Epoch 050 | GP NLPD: 146385.71 | JEPA Loss:   1.10 | SR: 1.47
  Trial 282 | Epoch 060 | GP NLPD: 141392.07 | JEPA Loss:   1.09 | SR: 1.46
  Trial 282 | Epoch 070 | GP NLPD: 134732.73 | JEPA Loss:   1.03 | SR: 1.50
  Trial 282 | Epoch 080 | GP NLPD: 127028.78 | JEPA Loss:   0.90 | SR: 1.52
  Trial 282 | Epoch 090 | GP NLPD: 120825.31 | JEPA Loss:   0.84 | SR: 1.51
  Trial 282 | Epoch 100 | GP NLPD: 118375.00 | JEPA Loss:   0.81 | SR: 1.51
  Trial 282 | Epoch 110 | GP NLPD: 118302.28 | JEPA Loss:   0.77 | SR: 1.55
  Trial 282 | Epoch 120 | GP NLPD: 119355.33 | JEPA Loss:   0.76 | SR: 1.56
  Trial 282 | Epoch 130 | GP NLPD: 120571.75 | JEPA Loss:   0.73 | SR: 1.63
  Trial 282 | Epoch 140 | GP NLPD: 121680.54 | JEPA Loss:   0.73 | SR: 1.64
  Trial 282 | Epoch 150 | GP NLPD: 123177.19 | JEPA Loss:   0.72 | SR: 1.67
  Trial 282 | Epoch 160 | GP NLPD: 125043.60 | JEPA Loss:   0.71 | SR: 1.71
  Trial 282 | Epoch 170 | GP NLPD: 127014.28 | JEPA Loss:   0.70 | SR: 1.75
  Trial 282 | Epoch 180 | GP NLPD: 129070.91 | JEPA Loss:   0.70 | SR: 1.74
  Trial 282 | Epoch 190 | GP NLPD: 130919.11 | JEPA Loss:   0.69 | SR: 1.78
  Trial 282 | Epoch 200 | GP NLPD: 132454.32 | JEPA Loss:   0.68 | SR: 1.81
  Trial 282 | Epoch 210 | GP NLPD: 134179.30 | JEPA Loss:   0.67 | SR: 1.85
  Trial 282 | Epoch 220 | GP NLPD: 135647.23 | JEPA Loss:   0.67 | SR: 1.85
  Trial 282 | Epoch 230 | GP NLPD: 137554.82 | JEPA Loss:   0.65 | SR: 1.95
  Trial 282 | Epoch 240 | GP NLPD: 139768.20 | JEPA Loss:   0.64 | SR: 2.01
  Trial 282 | Epoch 250 | GP NLPD: 141565.12 | JEPA Loss:   0.62 | SR: 2.02
  Trial 282 | Epoch 260 | GP NLPD: 142735.51 | JEPA Loss:   0.62 | SR: 2.05
  Trial 282 | Epoch 270 | GP NLPD: 144442.52 | JEPA Loss:   0.61 | SR: 2.06
  Trial 282 | Epoch 280 | GP NLPD: 145671.56 | JEPA Loss:   0.61 | SR: 2.05
  Trial 282 | Epoch 290 | GP NLPD: 148335.77 | JEPA Loss:   0.62 | SR: 2.00
  Trial 282 | Epoch 299 | GP NLPD: 150607.32 | JEPA Loss:   0.63 | SR: 1.98
[I 2026-09-04 01:44:42,217] Trial 282 finished with values: [117953.20703125, 0.7952676638960838, -1.5324615041414897] and parameters: {'encoder_layers': 3, 'encoder_hidden': 32, 'latent_dim': 4, 'gp_num_inducing': 256, 'gp_kernel': 'RBF', 'gp_periodic': False, 'gp_composition': 'multiplicative', 'gp_mean': 'Constant', 'lr': 0.00030287453488654767, 'gp_lr': 0.043110414524021444, 'var_weight': 22.86628996503969, 'cov_weight': 36.32427556011761, 'topo_weight': 4.498129400339861, 'ema_tau': 0.997626792078338, 'aug_noise': 0.026102268557593213, 'aug_dropout': 0.386771114930245}.
  Trial 283: JIT compilation took 0.0s
  Trial 283 | Epoch 000 | GP NLPD:  94892.35 | JEPA Loss:   0.53 | SR: 2.22
  Trial 283 | Epoch 010 | GP NLPD: 131790.32 | JEPA Loss:   0.60 | SR: 1.84
  Trial 283 | Epoch 020 | GP NLPD: 149818.20 | JEPA Loss:   1.19 | SR: 1.35
  Trial 283 | Epoch 030 | GP NLPD: 157350.09 | JEPA Loss:   1.11 | SR: 1.38
  Trial 283 | Epoch 040 | GP NLPD: 157891.54 | JEPA Loss:   1.07 | SR: 1.42
  Trial 283 | Epoch 050 | GP NLPD: 157826.43 | JEPA Loss:   1.05 | SR: 1.53
  Trial 283 | Epoch 060 | GP NLPD: 156119.82 | JEPA Loss:   1.01 | SR: 1.59
  Trial 283 | Epoch 070 | GP NLPD: 157000.82 | JEPA Loss:   1.01 | SR: 1.61
  Trial 283 | Epoch 080 | GP NLPD: 153503.58 | JEPA Loss:   0.93 | SR: 1.58
  Trial 283 | Epoch 090 | GP NLPD: 151419.34 | JEPA Loss:   0.86 | SR: 1.55
  Trial 283 | Epoch 100 | GP NLPD: 145506.80 | JEPA Loss:   0.77 | SR: 1.55
  Trial 283 | Epoch 110 | GP NLPD: 138587.56 | JEPA Loss:   0.73 | SR: 1.52
  Trial 283 | Epoch 120 | GP NLPD: 130004.90 | JEPA Loss:   0.73 | SR: 1.49
  Trial 283 | Epoch 130 | GP NLPD: 126053.32 | JEPA Loss:   0.71 | SR: 1.49
  Trial 283 | Epoch 140 | GP NLPD: 125814.95 | JEPA Loss:   0.74 | SR: 1.45
  Trial 283 | Epoch 150 | GP NLPD: 131128.85 | JEPA Loss:   0.74 | SR: 1.42
  Trial 283 | Epoch 160 | GP NLPD: 132765.26 | JEPA Loss:   0.72 | SR: 1.44
  Trial 283 | Epoch 170 | GP NLPD: 134153.41 | JEPA Loss:   0.71 | SR: 1.45
  Trial 283 | Epoch 180 | GP NLPD: 137620.99 | JEPA Loss:   0.70 | SR: 1.47
  Trial 283 | Epoch 190 | GP NLPD: 137661.51 | JEPA Loss:   0.70 | SR: 1.50
  Trial 283 | Epoch 200 | GP NLPD: 135950.19 | JEPA Loss:   0.68 | SR: 1.54
  Trial 283 | Epoch 210 | GP NLPD: 140731.89 | JEPA Loss:   0.72 | SR: 1.56
  Trial 283 | Epoch 220 | GP NLPD: 142552.62 | JEPA Loss:   0.69 | SR: 1.59
  Trial 283 | Epoch 230 | GP NLPD: 143028.45 | JEPA Loss:   0.68 | SR: 1.63
  Trial 283 | Epoch 240 | GP NLPD: 144941.77 | JEPA Loss:   0.67 | SR: 1.66
  Trial 283 | Epoch 250 | GP NLPD: 146465.85 | JEPA Loss:   0.67 | SR: 1.66
  Trial 283 | Epoch 260 | GP NLPD: 143114.42 | JEPA Loss:   0.66 | SR: 1.74
  Trial 283 | Epoch 270 | GP NLPD: 144236.58 | JEPA Loss:   0.70 | SR: 1.69
  Trial 283 | Epoch 280 | GP NLPD: 143551.14 | JEPA Loss:   0.66 | SR: 1.76
  Trial 283 | Epoch 290 | GP NLPD: 141650.61 | JEPA Loss:   0.72 | SR: 1.80
  Trial 283 | Epoch 299 | GP NLPD: 143590.68 | JEPA Loss:   0.68 | SR: 1.80
[I 2026-09-04 01:45:39,836] Trial 283 finished with values: [124612.77473958333, 0.7205016687512398, -1.4475629925727844] and parameters: {'encoder_layers': 3, 'encoder_hidden': 64, 'latent_dim': 4, 'gp_num_inducing': 512, 'gp_kernel': 'Matern52', 'gp_periodic': True, 'gp_composition': 'multiplicative', 'gp_mean': 'Constant', 'lr': 0.0005179446308753268, 'gp_lr': 0.015958729947080228, 'var_weight': 45.83676974462478, 'cov_weight': 14.68500796888831, 'topo_weight': 4.028345317916497, 'ema_tau': 0.9905951340409401, 'aug_noise': 0.10059698345924838, 'aug_dropout': 0.2807929211166537}.
  Trial 284: JIT compilation took 0.0s
  Trial 284 | Epoch 000 | GP NLPD: 183403.39 | JEPA Loss:   0.74 | SR: 2.95
  Trial 284 | Epoch 010 | GP NLPD: 223491.93 | JEPA Loss:   0.74 | SR: 2.57
  Trial 284 | Epoch 020 | GP NLPD: 240358.14 | JEPA Loss:   0.75 | SR: 2.36
  Trial 284 | Epoch 030 | GP NLPD: 242316.64 | JEPA Loss:   0.75 | SR: 2.31
  Trial 284 | Epoch 040 | GP NLPD: 242560.11 | JEPA Loss:   0.80 | SR: 2.08
  Trial 284 | Epoch 050 | GP NLPD: 243049.98 | JEPA Loss:   0.82 | SR: 2.07
  Trial 284 | Epoch 060 | GP NLPD: 243285.13 | JEPA Loss:   0.83 | SR: 2.08
  Trial 284 | Epoch 070 | GP NLPD: 244473.47 | JEPA Loss:   0.86 | SR: 2.01
  Trial 284 | Epoch 080 | GP NLPD: 245332.08 | JEPA Loss:   0.83 | SR: 2.04
  Trial 284 | Epoch 090 | GP NLPD: 246895.98 | JEPA Loss:   0.83 | SR: 2.06
  Trial 284 | Epoch 100 | GP NLPD: 247606.24 | JEPA Loss:   0.84 | SR: 2.02
  Trial 284 | Epoch 110 | GP NLPD: 248351.06 | JEPA Loss:   0.89 | SR: 2.02
  Trial 284 | Epoch 120 | GP NLPD: 249684.59 | JEPA Loss:   0.92 | SR: 1.96
  Trial 284 | Epoch 130 | GP NLPD: 249763.63 | JEPA Loss:   0.90 | SR: 1.95
  Trial 284 | Epoch 140 | GP NLPD: 250054.37 | JEPA Loss:   0.93 | SR: 1.92
  Trial 284 | Epoch 150 | GP NLPD: 249866.36 | JEPA Loss:   0.95 | SR: 1.89
  Trial 284 | Epoch 160 | GP NLPD: 250785.85 | JEPA Loss:   0.95 | SR: 1.88
